set_id,original,pixels,max_print_size_at_300dpi_inches,shopify_main,shopify_card,manufacturer_asset_type,manufacturer_primary,print_master
layoung-merch-design-01,layoung-merch-design-01-original.png,1024x1024,3.41x3.41,pipeline/shopify/layoung-merch-design-01-shopify-main.png,pipeline/shopify/layoung-merch-design-01-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-01-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-01-print-master.png
layoung-merch-design-02,layoung-merch-design-02-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-02-shopify-main.png,pipeline/shopify/layoung-merch-design-02-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-02-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-02-print-master.png
layoung-merch-design-03,layoung-merch-design-03-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-03-shopify-main.png,pipeline/shopify/layoung-merch-design-03-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-03-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-03-print-master.png
layoung-merch-design-04,layoung-merch-design-04-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-04-shopify-main.png,pipeline/shopify/layoung-merch-design-04-shopify-card.jpg,transparent,pipeline/manufacturer/layoung-merch-design-04-manufacturer-transparent.png,pipeline/print/layoung-merch-design-04-print-master.png
layoung-merch-design-05,layoung-merch-design-05-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-05-shopify-main.png,pipeline/shopify/layoung-merch-design-05-shopify-card.jpg,transparent,pipeline/manufacturer/layoung-merch-design-05-manufacturer-transparent.png,pipeline/print/layoung-merch-design-05-print-master.png
layoung-merch-design-06,layoung-merch-design-06-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-06-shopify-main.png,pipeline/shopify/layoung-merch-design-06-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-06-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-06-print-master.png
layoung-merch-design-07,layoung-merch-design-07-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-07-shopify-main.png,pipeline/shopify/layoung-merch-design-07-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-07-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-07-print-master.png
layoung-merch-design-08,layoung-merch-design-08-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-08-shopify-main.png,pipeline/shopify/layoung-merch-design-08-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-08-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-08-print-master.png
layoung-merch-design-09,layoung-merch-design-09-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-09-shopify-main.png,pipeline/shopify/layoung-merch-design-09-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-09-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-09-print-master.png
layoung-merch-design-10,layoung-merch-design-10-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-10-shopify-main.png,pipeline/shopify/layoung-merch-design-10-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-10-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-10-print-master.png
layoung-merch-design-11,layoung-merch-design-11-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-11-shopify-main.png,pipeline/shopify/layoung-merch-design-11-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-11-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-11-print-master.png
layoung-merch-design-12,layoung-merch-design-12-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-12-shopify-main.png,pipeline/shopify/layoung-merch-design-12-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-12-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-12-print-master.png
layoung-merch-design-13,layoung-merch-design-13-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-13-shopify-main.png,pipeline/shopify/layoung-merch-design-13-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-13-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-13-print-master.png
layoung-merch-design-14,layoung-merch-design-14-original.png,1024x1536,3.41x5.12,pipeline/shopify/layoung-merch-design-14-shopify-main.png,pipeline/shopify/layoung-merch-design-14-shopify-card.jpg,opaque,pipeline/manufacturer/layoung-merch-design-14-manufacturer-black-bg.png,pipeline/print/layoung-merch-design-14-print-master.png
